JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
" Chen et al.,2020",015dcca58db7da79b1474666ff2a7d16,330.7,415.8,200000,2.1,4000.7,290.5,44.8,44.8,15.7,15.7,6.3,circle,,,70.1,5,145.25,2000,190,15.7,,1
" Chen et al.,2020",21c5656ccc902e34b40e1cb6e4d2c4e5,332.8,420.5,200000,1.86,4001.5,240.5,44.5,44.5,15.5,15.5,5.58,circle,,,69.75,1,120.25,2000,,12.9,,1
" Chen et al.,2020",2ae186db9c82b5c36fe89305afaff585,332.8,420.5,200000,1.81,4000.5,240.6,44.7,44.7,15.7,15.7,5.43,circle,,,70.5,5,120.3,2000,190,13.7,,1
" Chen et al.,2020",31fc77fe5c4443daa4ac1411b15571d9,330.7,430.5,200000,2.11,4001.5,290,45.3,45.3,15.1,15.1,6.33,circle,,,70.95,3,145,2000,240,16.3,,1
" Chen et al.,2020",448ce8d75d405a3dd31a6073e8ef1367,332.8,430.5,200000,1.82,4002.3,241.6,45.6,45.6,15.6,15.6,5.46,circle,,,70.75,1,120.8,2000,,11.0,,1
" Chen et al.,2020",4777abcb493f8fe61d8b75b01f09ae91,332.8,420.5,200000,1.85,4002.3,240.8,45.5,45.5,14.8,14.8,5.55,circle,,,70.3,3,120.4,2000,240,12.8,,1
" Chen et al.,2020",5c4af11e2ec38aa985641654ae416859,332.8,415.8,200000,1.8,4000.7,239.8,45.3,45.3,15.3,15.3,5.4,circle,,,70.4,3,119.9,2000,240,10.6,,1
" Chen et al.,2020",6b5491537733ade97a4a2316956ec6e5,332.8,431.8,200000,1.8,4001.9,240.2,44.9,44.9,14.9,14.9,5.4,circle,,,70.8,3,120.1,2000,240,13.3,,1
" Chen et al.,2020",71d02bc30d28160ae57aca8363e19171,330.7,415.8,200000,2.1,4000.8,291.2,46,46,15.8,15.8,6.3,circle,,,70.25,5,145.6,2000,190,20.5,,1
" Chen et al.,2020",83474e6ae4bc4605d92ae82c234ebe81,330.7,415.8,200000,2.13,4001.8,290.8,45.8,45.8,15.2,15.2,6.39,circle,,,69.75,1,145.4,2000,,19.3,,1
" Chen et al.,2020",d263110a30e4d5f02591df56459e2e0d,332.8,430.5,200000,1.81,4000.1,239.6,44.9,44.9,15.9,15.9,5.43,circle,,,70.3,5,119.8,2000,190,10.2,,1
" Chen et al.,2020",dbf80eeddb3514675b8319c59d6430d4,330.7,430.5,200000,2.15,4001.5,290.3,45.9,45.9,14.9,14.9,6.45,circle,,,69.8,3,145.15,2000,240,19.8,,1
" Chen et al.,2020",fbadedc4a6c28a411774f0b0dbe183cb,332.8,431.8,200000,1.83,4000.5,239.5,45.2,45.2,15,15,5.49,circle,,,70.4,2,119.75,2000,240,12.9,,1
" Chen et al.,2020",fc11e03252d7511759b62d76e00bd446,330.7,415.8,200000,2.16,4001.8,290.9,45.9,45.9,14.9,14.9,6.48,circle,,,70.75,1,145.45,2000,,16.7,,1
"Chandramohan et al., 2025",094e3701ef741971d15a7132b2cb311b,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,348,116,58,1,145,2592,,16.302500000000002,1.2157679328994762,4
"Chandramohan et al., 2025",0a0dce3d81eec912054cde6bbc93e2f6,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,300,120,60,1,120,3000,,10.76,0.6801960501698511,4
"Chandramohan et al., 2025",0a3f84b5efa3c4b1d2d6f44b8593d488,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,290,116,58,1,145,3000,,16.86,1.0411532067856295,4
"Chandramohan et al., 2025",0bd195310aa0697ac0d23496e708abcc,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,288,144,72,3,120,2502,498,9.870000000000001,0.6418722614352483,4
"Chandramohan et al., 2025",0c41e698174bd6f8aa4d6c418a25888e,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,360,144,72,1,120,3000,,9.850000000000001,0.1489966442575128,4
"Chandramohan et al., 2025",103332ffc3b02eb9a410b370558e5ec6,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,435,174,87,1,145,3000,,14.215,1.4383439551558357,4
"Chandramohan et al., 2025",151c98cab4dcddd5df2bf55e31a72d5f,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,435,145,72.5,3,145,2722.5,277.5,14.81,1.4004523078872284,4
"Chandramohan et al., 2025",1661bd3b90b4b91d0c93ee7f1a041f5f,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,522,174,87,1,145,2000,,17.1075,0.9410410901407743,4
"Chandramohan et al., 2025",2176bd19b6945c30e88bb85619db4a04,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,232,116,58,1,145,3000,,17.935000000000002,1.3908630414242815,4
