SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
1,Moen et al. 2013,NH-1.1,C,Pinned and roller,four point loading,380,436.99999999999994,203500,0.3,1.76,4878,203,63,63.4,15.4,13.9,,4.475,no_hole,,,,,,,,12.6,10.6,Distortional and local,10.6,,,12.6,False,False,False,801c5b5fcdc8a3fffe875c61a3974ce2,False
2,Moen et al. 2013,NH-1.2,C,Pinned and roller,four point loading,363,417.45,203500,0.3,1.77,4878,203.2,62.8,63.4,15.3,14,,4.875,no_hole,,,,,,,,12.6,10.6,Distortional and local,ˉ,,,12.6,False,False,False,5113354e09b506b678f1d791ef7652ab,False
3,Moen et al. 2013,NH-2.1,C,Pinned and roller,four point loading,364,418.59999999999997,203500,0.3,1.76,4878,203.3,62.7,63.5,15.4,14.2,,4.75,no_hole,,,,,,,,12.5,10.5,Distortional and local,10.5,,,12.5,False,False,False,62b527e289ae0bbe8b1ff833ee147b41,False
4,Moen et al. 2013,NH-2.2,C,Pinned and roller,four point loading,375,431.24999999999994,203500,0.3,1.78,4878,203.1,62.7,63.5,15.2,14,,4.675,no_hole,,,,,,,,12.5,10.5,Distortional and local,ˉ,,,12.5,False,False,False,3e9b838875af5ffcbef564b1f3cf7a64,False
5,Moen et al. 2013,NH-3.1,C,Pinned and roller,four point loading,378,434.7,203500,0.3,1.78,4878,203.1,62.7,63.5,13.1,14.2,,4.9,no_hole,,,,,,,,13,10.6,Distortional and local,ˉ,,,13.0,False,False,False,99c4d91393de131b2220bb65ce2d93de,False
6,Moen et al. 2013,NH-3.2,C,Pinned and roller,four point loading,371,426.65,203500,0.3,1.77,4878,203,62.7,63.4,15.3,14.1,,4.425,no_hole,,,,,,,,13,10.6,Distortional and local,10.6,,,13.0,False,False,False,b14a25ddf0122612f61676e02b46d615,False
7,Moen et al. 2013,H0.9-1.1,C,Pinned and roller,four point loading,365,419.74999999999994,203500,0.3,1.76,4878,203,63.7,62.6,13.7,15.6,,5.175,rectangle,152.3,136.7,,3,101.51,1980,457.3,9.7,9.4,Distortional and local,9.4,,,9.7,False,False,False,9f43d642b147019285fea1e9d1f51d5b,False
8,Moen et al. 2013,H.09-1.2,C,Pinned and roller,four point loading,366,420.9,203500,0.3,1.77,4878,203,62.7,63.5,15.5,13.8,,5.075,rectangle,152.3,136.7,,3,100.68,1980,457.3,9.7,9.4,Distortional and local,ˉ,,,9.7,False,False,False,5ae768355bf924611bcd8bcb2c6ce376,False
9,Moen et al. 2013,H.09-2.1,C,Pinned and roller,four point loading,368,423.2,203500,0.3,1.76,4878,203.1,62.7,63.6,15.4,13.9,,4.875,rectangle,152.3,136.7,,3,100.93,1980,457.3,10.5,9.7,Distortional and local,ˉ,,,10.5,False,False,False,c9df794b45fbc62dac645ed6a88fcf89,False
10,Moen et al. 2013,H0.9-2.2,C,Pinned and roller,four point loading,363,417.45,203500,0.3,1.77,4878,203.1,62.6,63.6,15.3,13.9,,5,rectangle,152.3,136.7,,3,101.35,1980,457.3,10.5,9.7,Distortional and local,9.7,,,10.5,False,False,False,8d96cdf4e8e5be69709993392397d18b,False
11,Moen et al. 2013,H0.9-3.1,C,Pinned and roller,four point loading,370,425.49999999999994,203500,0.3,1.77,4878,203,62.8,63.4,15.5,13.8,,4.85,rectangle,152.3,136.7,,3,101.41,1980,457.3,10.8,9.9,Distortional and local,9.9,,,10.8,False,False,False,f9fca1cba20bfaa1da7db0a420096f77,False
12,Moen et al. 2013,H0.9-3.2,C,Pinned and roller,four point loading,369,424.34999999999997,203500,0.3,1.78,4878,202.9,62.8,63.4,15.6,13.6,,4.875,rectangle,152.3,136.7,,3,100.75,1980,457.3,10.8,9.9,Distortional and local,ˉ,,,10.8,False,False,False,f5a622845c56b3e0e8549d2d7a184b05,False
13,Moen et al. 2013,H0.8-1.1,C,Pinned and roller,four point loading,364,418.59999999999997,203500,0.3,1.76,4878,203,62.7,63.4,15,13.7,,4.275,rectangle,152.3,172.1,,3,101.11,1980,457.3,8.2,8.5,Distortional and local,ˉ,,,8.2,False,False,False,d77386f06a27ab0a799c5cd098e6ef10,False
14,Moen et al. 2013,H0.8-1.2,C,Pinned and roller,four point loading,360,413.99999999999994,203500,0.3,1.77,4878,203,63.5,62.9,14,15.2,,4.825,rectangle,152.3,172.1,,3,101.11,1980,457.3,8.2,8.5,Distortional and local,8.5,,,8.2,False,False,False,925eaa4e43c91e2c1318e612b4485383,False
15,Moen et al. 2013,H0.8-2.1,C,Pinned and roller,four point loading,363,417.45,203500,0.3,1.77,4878,203.1,62.8,63.6,15.1,14,,5.3,rectangle,152.3,172.1,,3,101.21,1980,457.3,8.6,8.6,Distortional and local,ˉ,,,8.6,False,False,False,722e8a2b23f12400a7252b084cf39965,False
16,Moen et al. 2013,H0.8-2.2,C,Pinned and roller,four point loading,363,417.45,203500,0.3,1.75,4878,203.1,63.5,62.7,14.3,15.3,,4.85,rectangle,152.3,172.1,,3,101.45,1980,457.3,8.6,8.6,Distortional and local,8.6,,,8.6,False,False,False,6eda23ed8c89dc3efc783b5c7437013b,False
17,Moen et al. 2013,H0.8-3.1,C,Pinned and roller,four point loading,375,431.24999999999994,203500,0.3,1.76,4878,202.9,63.4,62.7,13.7,15.4,,5.375,rectangle,152.3,172.1,,3,101.81,1980,457.3,8.6,8.8,Distortional and local,ˉ,,,8.6,False,False,False,233d85fa7420729645d7dea825d46382,False
18,Moen et al. 2013,H0.8-3.2,C,Pinned and roller,four point loading,376,432.4,203500,0.3,1.76,4878,203.1,63.4,62.6,14,15.2,,4.8,rectangle,152.3,172.1,,3,101.81,1980,457.3,8.6,8.8,Distortional and local,8.8,,,8.6,False,False,False,52c19f1e40e6d88ab8ebc127867568b5,False
19," Chen et al.,2020",240-L4000-EH1-1,C,Pinned and roller,four point loading,332.8,420.5,200000,0.3,1.86,4001.5,240.5,44.5,44.5,15.5,15.5,13,5.58,circle,,,69.75,1,120.25,2000,,12.9,13.6,Distortional,,,,12.9,False,False,False,21c5656ccc902e34b40e1cb6e4d2c4e5,False
20," Chen et al.,2020",240-L4000-EH1-2,C,Pinned and roller,four point loading,332.8,431.8,200000,0.3,1.83,4000.5,239.5,45.2,45.2,15,15,13,5.49,circle,,,70.4,2,119.75,2000,240,12.9,13.6,Distortional,,,,12.9,False,False,False,fbadedc4a6c28a411774f0b0dbe183cb,False
