SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
1,NH-1.1,Moen et al. 2013,801c5b5fcdc8a3fffe875c61a3974ce2,12.6,False,1
2,NH-1.2,Moen et al. 2013,5113354e09b506b678f1d791ef7652ab,12.6,False,1
3,NH-2.1,Moen et al. 2013,62b527e289ae0bbe8b1ff833ee147b41,12.5,False,1
4,NH-2.2,Moen et al. 2013,3e9b838875af5ffcbef564b1f3cf7a64,12.5,False,1
5,NH-3.1,Moen et al. 2013,99c4d91393de131b2220bb65ce2d93de,13.0,False,1
6,NH-3.2,Moen et al. 2013,b14a25ddf0122612f61676e02b46d615,13.0,False,1
7,H0.9-1.1,Moen et al. 2013,9f43d642b147019285fea1e9d1f51d5b,9.7,False,1
8,H.09-1.2,Moen et al. 2013,5ae768355bf924611bcd8bcb2c6ce376,9.7,False,1
9,H.09-2.1,Moen et al. 2013,c9df794b45fbc62dac645ed6a88fcf89,10.5,False,1
10,H0.9-2.2,Moen et al. 2013,8d96cdf4e8e5be69709993392397d18b,10.5,False,1
11,H0.9-3.1,Moen et al. 2013,f9fca1cba20bfaa1da7db0a420096f77,10.8,False,1
12,H0.9-3.2,Moen et al. 2013,f5a622845c56b3e0e8549d2d7a184b05,10.8,False,1
13,H0.8-1.1,Moen et al. 2013,d77386f06a27ab0a799c5cd098e6ef10,8.2,False,1
14,H0.8-1.2,Moen et al. 2013,925eaa4e43c91e2c1318e612b4485383,8.2,False,1
15,H0.8-2.1,Moen et al. 2013,722e8a2b23f12400a7252b084cf39965,8.6,False,1
16,H0.8-2.2,Moen et al. 2013,6eda23ed8c89dc3efc783b5c7437013b,8.6,False,1
17,H0.8-3.1,Moen et al. 2013,233d85fa7420729645d7dea825d46382,8.6,False,1
18,H0.8-3.2,Moen et al. 2013,52c19f1e40e6d88ab8ebc127867568b5,8.6,False,1
19,240-L4000-EH1-1," Chen et al.,2020",21c5656ccc902e34b40e1cb6e4d2c4e5,12.9,False,1
20,240-L4000-EH1-2," Chen et al.,2020",fbadedc4a6c28a411774f0b0dbe183cb,12.9,False,1
21,240-L4000-EH1-3," Chen et al.,2020",4777abcb493f8fe61d8b75b01f09ae91,12.8,False,1
