model_id,family,oof_mae,oof_pearson,holdout_mae,holdout_pearson,n_train,n_test
Lasso|{'model__alpha': 0.001},linear,0.9912970775777548,0.9895031589474407,0.9570804638903023,0.9680944568941263,264,67
Ridge|{'model__alpha': 0.1},linear,0.9937957985340703,0.9894862528003159,0.9592139314433324,0.9679065496377789,264,67
Lasso|{'model__alpha': 0.01},linear,0.9985263018677034,0.9892641050454077,0.9798451215106978,0.9676661347013912,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.8}",linear,1.01097066318607,0.9891116659233284,1.0146630852916956,0.9664890660074558,264,67
Ridge|{'model__alpha': 1.0},linear,1.004682007979383,0.9892474542123965,1.0168399099922685,0.9659150432151367,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.5}",linear,1.0207499797788973,0.9890088134578712,1.0466590258281065,0.9652975918259056,264,67
"ElasticNet|{'model__alpha': 0.01, 'model__l1_ratio': 0.2}",linear,1.031292334785776,0.9888753657326139,1.0733927932708245,0.9639909351924527,264,67
Lasso|{'model__alpha': 0.1},linear,1.3154036987807587,0.9828189531255042,1.2277692370829847,0.9600298982068319,264,67
Ridge|{'model__alpha': 10.0},linear,1.3171106415215839,0.9838023143203936,1.3083118514208678,0.9520923444050151,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.8}",linear,1.381096049116641,0.9817529427335897,1.3199126654995905,0.9542858174894279,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",linear,1.4772933640817698,0.9792818744939688,1.4598120984131768,0.9434269572381887,264,67
"ElasticNet|{'model__alpha': 0.1, 'model__l1_ratio': 0.2}",linear,1.5348817375162724,0.9776497330188798,1.5285271538947511,0.9382024631342099,264,67
"RandomForest|{'model__max_depth': None, 'model__min_samples_leaf': 1}",tree,0.9493891393097602,0.9866859307154641,0.8857886152570509,0.9726051107899849,264,67
"RandomForest|{'model__max_depth': 10, 'model__min_samples_leaf': 1}",tree,0.9687481451998737,0.986163303313318,0.9097034969061578,0.9723602914738378,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': None, 'model__l2_regularization': 0.1}",tree,1.4798401216509767,0.9571404569450181,1.031607433659083,0.9617545704425747,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': None, 'model__l2_regularization': 0.0}",tree,1.4614812698739559,0.957707226844413,1.0465304066834422,0.9618458119362733,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': None, 'model__l2_regularization': 0.1}",tree,1.6318780941335385,0.9335409803921426,1.0519410970476473,0.9627158327896501,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': None, 'model__l2_regularization': 0.0}",tree,1.6319345628948045,0.9333021217438774,1.0679978468347255,0.9619382891736176,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__l2_regularization': 0.1}",tree,1.4009508097141015,0.9629360518908368,1.12882203270402,0.9604953175630313,264,67
"HistGradientBoosting|{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__l2_regularization': 0.0}",tree,1.4043863420115459,0.9624298487023326,1.1455201190219104,0.9600526688468372,264,67
"RandomForest|{'model__max_depth': None, 'model__min_samples_leaf': 3}",tree,1.5558479641409841,0.9301552423848555,1.2060365899797416,0.9653691735973875,264,67
"RandomForest|{'model__max_depth': 10, 'model__min_samples_leaf': 3}",tree,1.554789146405708,0.9302213294540195,1.2158975003328045,0.9651160349169389,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__l2_regularization': 0.0}",tree,1.6251111621483454,0.9374129659182177,1.258800909254921,0.9591549578253475,264,67
"HistGradientBoosting|{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__l2_regularization': 0.1}",tree,1.6186175387054493,0.9370366173766698,1.2603413311748362,0.9598541618110863,264,67
