JOURNAL TITLE,geometry_signature,replicate_count,target_mean,target_std
" Chen et al.,2020",015dcca58db7da79b1474666ff2a7d16,1,15.7,
" Chen et al.,2020",21c5656ccc902e34b40e1cb6e4d2c4e5,1,12.9,
" Chen et al.,2020",2ae186db9c82b5c36fe89305afaff585,1,13.7,
" Chen et al.,2020",31fc77fe5c4443daa4ac1411b15571d9,1,16.3,
" Chen et al.,2020",448ce8d75d405a3dd31a6073e8ef1367,1,11.0,
" Chen et al.,2020",4777abcb493f8fe61d8b75b01f09ae91,1,12.8,
" Chen et al.,2020",5c4af11e2ec38aa985641654ae416859,1,10.6,
" Chen et al.,2020",6b5491537733ade97a4a2316956ec6e5,1,13.3,
" Chen et al.,2020",71d02bc30d28160ae57aca8363e19171,1,20.5,
" Chen et al.,2020",83474e6ae4bc4605d92ae82c234ebe81,1,19.3,
" Chen et al.,2020",d263110a30e4d5f02591df56459e2e0d,1,10.2,
" Chen et al.,2020",dbf80eeddb3514675b8319c59d6430d4,1,19.8,
" Chen et al.,2020",fbadedc4a6c28a411774f0b0dbe183cb,1,12.9,
" Chen et al.,2020",fc11e03252d7511759b62d76e00bd446,1,16.7,
"Chandramohan et al., 2025",094e3701ef741971d15a7132b2cb311b,4,16.302500000000002,1.2157679328994762
"Chandramohan et al., 2025",0a0dce3d81eec912054cde6bbc93e2f6,4,10.76,0.6801960501698511
"Chandramohan et al., 2025",0a3f84b5efa3c4b1d2d6f44b8593d488,4,16.86,1.0411532067856295
"Chandramohan et al., 2025",0bd195310aa0697ac0d23496e708abcc,4,9.870000000000001,0.6418722614352483
"Chandramohan et al., 2025",0c41e698174bd6f8aa4d6c418a25888e,4,9.850000000000001,0.1489966442575128
"Chandramohan et al., 2025",103332ffc3b02eb9a410b370558e5ec6,4,14.215,1.4383439551558357
"Chandramohan et al., 2025",151c98cab4dcddd5df2bf55e31a72d5f,4,14.81,1.4004523078872284
"Chandramohan et al., 2025",1661bd3b90b4b91d0c93ee7f1a041f5f,4,17.1075,0.9410410901407743
"Chandramohan et al., 2025",2176bd19b6945c30e88bb85619db4a04,4,17.935000000000002,1.3908630414242815
"Chandramohan et al., 2025",2a073d35b4747a6a661c8b9d5dda6feb,4,11.7,1.3668211294825665
"Chandramohan et al., 2025",32aaa2ed42c53faed9459296d9a47a07,4,11.72,1.2133974342041984
"Chandramohan et al., 2025",35b086c56c1da39f676a89c278f18d32,4,11.955,1.2901033550327143
"Chandramohan et al., 2025",3a6058d025c067e5a6096f88eb27c737,8,11.775,1.3454154960988296
"Chandramohan et al., 2025",3b584d5cf338a5aa11cc55dc9f21f39f,4,17.2425,1.115747133837532
"Chandramohan et al., 2025",3f06e4a668e410a05799a101e5c95d37,4,10.75,1.04124924969961
